,scenario1,scenario2
integer,"{'accuracy': 0.5855513307984791, 'precision': 0.4965986394557823, 'recall': 0.6759259259259259, 'f1': 0.5725490196078431, 'CSI': np.float64(0.17252456538170824), 'G-mean': 0.594328029333644, 'MCC': 0.19668215244400847, 'Kappa': 0.18820264491830208, 'AUC': 0.5899044205495818}","{'accuracy': 0.46484375, 'precision': 0.26161616161616164, 'recall': 0.3553101294065149, 'f1': 0.28774391227221413, 'CSI': None, 'G-mean': None, 'MCC': 0.044280103761969676, 'Kappa': 0.031213745096955958, 'AUC': 0.582320400672753}"
atomic,"{'accuracy': 0.6083650190114068, 'precision': 0.5257731958762887, 'recall': 0.4722222222222222, 'f1': 0.4975609756097561, 'CSI': np.float64(-0.002004581901489111), 'G-mean': 0.5762628333031682, 'MCC': 0.1788901007018492, 'Kappa': 0.17819979977550593, 'AUC': 0.624253285543608}","{'accuracy': 0.486328125, 'precision': 0.27444444444444444, 'recall': 0.3365807315282636, 'f1': 0.23403659969780066, 'CSI': None, 'G-mean': None, 'MCC': 0.025391961796724465, 'Kappa': 0.008307311612561152, 'AUC': 0.598315531833611}"
