,scenario1,scenario2
integer,"{'accuracy': 0.5855513307984791, 'precision': 0.4965986394557823, 'recall': 0.6759259259259259, 'f1': 0.5725490196078431, 'CSI': np.float64(0.17252456538170824), 'G-mean': 0.594328029333644, 'MCC': 0.19668215244400847, 'Kappa': 0.18820264491830208, 'AUC': 0.5899044205495818}","{'accuracy': 0.46484375, 'precision': 0.26161616161616164, 'recall': 0.3553101294065149, 'f1': 0.28774391227221413, 'CSI': None, 'G-mean': None, 'MCC': 0.044280103761969676, 'Kappa': 0.031213745096955958, 'AUC': 0.582320400672753}"
atomic,"{'accuracy': 0.6083650190114068, 'precision': 0.5257731958762887, 'recall': 0.4722222222222222, 'f1': 0.4975609756097561, 'CSI': np.float64(-0.002004581901489111), 'G-mean': 0.5762628333031682, 'MCC': 0.1788901007018492, 'Kappa': 0.17819979977550593, 'AUC': 0.624253285543608}","{'accuracy': 0.486328125, 'precision': 0.27444444444444444, 'recall': 0.3365807315282636, 'f1': 0.23403659969780066, 'CSI': None, 'G-mean': None, 'MCC': 0.025391961796724465, 'Kappa': 0.008307311612561152, 'AUC': 0.598315531833611}"
eiip,"{'accuracy': 0.6045627376425855, 'precision': 0.5333333333333333, 'recall': 0.2962962962962963, 'f1': 0.38095238095238093, 'CSI': np.float64(-0.1703703703703704), 'G-mean': 0.49271878801414365, 'MCC': 0.13558260752162007, 'Kappa': 0.12400717396874206, 'AUC': 0.6551373954599761}","{'accuracy': 0.46875, 'precision': 0.3651356852642543, 'recall': 0.3526202780056906, 'f1': 0.28879976655066764, 'CSI': None, 'G-mean': None, 'MCC': 0.037049312699543493, 'Kappa': 0.024673114499219162, 'AUC': 0.5970168454060466}"
bfdna,"{'accuracy': 0.6501901140684411, 'precision': 0.5634920634920635, 'recall': 0.6574074074074074, 'f1': 0.6068376068376068, 'CSI': np.float64(0.22089947089947093), 'G-mean': 0.6512555652204328, 'MCC': 0.2979587658359407, 'Kappa': 0.2951115772300881, 'AUC': 0.6890681003584229}","{'accuracy': 0.484375, 'precision': 0.16177429876060012, 'recall': 0.33199464524765726, 'f1': 0.21754385964912282, 'CSI': None, 'G-mean': None, 'MCC': -0.028617140852206985, 'Kappa': -0.0027522867719607103, 'AUC': 0.604767613141479}"
