epoch,accuracy,loss,val_accuracy,val_loss
0,0.426834374666214,1.0615547895431519,0.40704500675201416,1.084455132484436
1,0.4595387876033783,1.053313970565796,0.38160470128059387,1.0598680973052979
2,0.46918240189552307,1.0522725582122803,0.48727983236312866,1.1245982646942139
3,0.4683438241481781,1.0493136644363403,0.48727983236312866,1.0595141649246216
4,0.4742138385772705,1.0367445945739746,0.48727983236312866,1.0693995952606201
5,0.4809224307537079,1.044295072555542,0.48727983236312866,1.0700774192810059
6,0.47882598638534546,1.0348565578460693,0.48727983236312866,1.0916372537612915
7,0.47882598638534546,1.0322153568267822,0.48727983236312866,1.0904695987701416
8,0.47882598638534546,1.026759147644043,0.48727983236312866,1.114516258239746
9,0.48218029737472534,1.0324362516403198,0.48727983236312866,1.0749330520629883
10,0.4838574528694153,1.023930549621582,0.48727983236312866,1.1396551132202148
11,0.4834381639957428,1.0252106189727783,0.48727983236312866,1.0657684803009033
12,0.4800838530063629,1.0248664617538452,0.48727983236312866,1.0746662616729736
13,0.48469603061676025,1.0144836902618408,0.48727983236312866,1.0589549541473389
14,0.4800838530063629,1.0178972482681274,0.4814090132713318,1.1288341283798218
15,0.4838574528694153,1.0169365406036377,0.48727983236312866,1.1447646617889404
16,0.48218029737472534,1.0121656656265259,0.4931506812572479,1.06024968624115
17,0.4834381639957428,1.0089094638824463,0.48727983236312866,1.0522382259368896
18,0.4859538674354553,1.0019830465316772,0.48727983236312866,1.0442135334014893
19,0.4838574528694153,1.0080209970474243,0.48727983236312866,1.2032605409622192
20,0.48427674174308777,1.0054266452789307,0.48727983236312866,1.0777112245559692
21,0.48511528968811035,1.0031285285949707,0.4285714328289032,1.199545979499817
