epoch,accuracy,loss,val_accuracy,val_loss
0,0.4415094256401062,1.0600603818893433,0.48727983236312866,1.065560221672058
1,0.4528301954269409,1.054524302482605,0.48727983236312866,1.0766369104385376
2,0.451153039932251,1.0457807779312134,0.48727983236312866,1.0487127304077148
3,0.4620545208454132,1.0509405136108398,0.48727983236312866,1.0780373811721802
4,0.47924527525901794,1.0288835763931274,0.48727983236312866,1.0616992712020874
5,0.47882598638534546,1.0247398614883423,0.48727983236312866,1.095503330230713
6,0.478406697511673,1.0229016542434692,0.46966731548309326,1.134401798248291
7,0.48511528968811035,1.0048202276229858,0.4755381643772125,1.1309306621551514
8,0.48553457856178284,1.0038775205612183,0.4833659529685974,1.1222507953643799
9,0.49056604504585266,0.9893202781677246,0.4755381643772125,1.1978480815887451
10,0.4838574528694153,0.9780381917953491,0.4911937415599823,1.2658618688583374
11,0.5203354358673096,0.9635344743728638,0.48532289266586304,1.2462701797485352
12,0.5174004435539246,0.9664548635482788,0.37181997299194336,1.6718577146530151
13,0.5157232880592346,0.950091540813446,0.4794520437717438,1.2942278385162354
14,0.5568134188652039,0.9012815356254578,0.4285714328289032,1.524780035018921
15,0.5731655955314636,0.8827571272850037,0.38943248987197876,1.6334285736083984
16,0.6054507493972778,0.8263658285140991,0.4540117383003235,1.8841661214828491
17,0.6129978895187378,0.8116464018821716,0.444227010011673,1.5126723051071167
18,0.6457023024559021,0.7551917433738708,0.45205479860305786,2.0219805240631104
19,0.6628930568695068,0.7187427878379822,0.43248531222343445,1.9037944078445435
20,0.695178210735321,0.6891334652900696,0.45009785890579224,2.0273776054382324
21,0.7211740016937256,0.6108967065811157,0.465753436088562,2.525054454803467
22,0.753459095954895,0.5549855828285217,0.395303338766098,2.538252353668213
23,0.7584905624389648,0.5639660954475403,0.4266144931316376,2.2731499671936035
24,0.7865828275680542,0.4967442750930786,0.444227010011673,2.531667947769165
25,0.8109014630317688,0.4509734511375427,0.4109589159488678,2.833369255065918
26,0.8213836550712585,0.4255523681640625,0.41487279534339905,2.6023333072662354
27,0.8423479795455933,0.36938294768333435,0.3855185806751251,2.8270387649536133
28,0.8578616380691528,0.3727099895477295,0.4109589159488678,2.9741499423980713
29,0.8729559779167175,0.328242689371109,0.4285714328289032,2.798290252685547
